feature,psi,ks_stat,ks_pvalue
sepal_length,0.2295500030151596,0.1080827067669173,0.8543039531279696
sepal_width,1.021896166146486,0.08223684210526316,0.9799571236952839
petal_length,0.4087010945653298,0.11325187969924812,0.8080256016651373
petal_width,1.1397808696517675,0.09210526315789473,0.9469394096067864
location,0.0029913299387353924,0.02725563909774436,1.0
